Writer	Rate	Date	Contents
Marissa Jularbal	5	October 30, 2020	What a nice game but the problem is lag and its ghraphics is low but always update it so that it will be improved
Tina Summers	5	October 30, 2020	Good , BUT it would be better if it would quit stopping !!!!
Brittany Smotherman	5	October 31, 2020	I love it
cindy viada	5	October 31, 2020	I love doing these type of games this game is really fun cant stop
pineapple wolf UwU	5	October 31, 2020	It's a really good game
Nicole Drees	4	October 31, 2020	The game is nice enough but SO incredibly sloooow. You wait till your energy is full, chop a tree, and repeat. The start is fast but after that it falls off really fast to snails pace Edit after response: I hope the game will improve, because it is actually fun to do a game like this for relaxation purposes. Keep up the good work!
Susan Dobbins cole	5	October 31, 2020	I love discovering the new dragons and clearing the land to see what is there to discover next
B. Knicely	3	October 31, 2020	Good casual game but there's room for improvement. Energy takes too long to replenish considering it takes a lot of energy to do land clearing. There are other ways to gather extra energy but once again the usage rate makes it useless. Quest are kinda all over the place and production times are longer than necessary. Between the energy issue and production there's no way to continuously play. Graphics aren't bad but the fixed screen makes it hard to get to certain areas on the map.
antoinette Stone	3	October 31, 2020	I like the game but it keep freeze up while I am playing the game but it's still fun to play when it don't freeze up.
Cassandra Mae	5	October 31, 2020	Wow great game! So glad that I pre registered! There is always so much to do, and it's like you took different aspects of games that I like and put them together in one game! Love it! 💖🎉
Annie Redmond	1	October 31, 2020	Looks fun. But cant even play because it keeps popping up no internet connection when I have wifi and full bars of data. I reload and then cant play anything till I try to restart. Then happens again. Please fix I wanna play!
Kay Hodgson	4	October 31, 2020	I usually don't enjoy energy driven games but am finding this game engrossing. It combines several facets of farming/exploring formats and, most importantly, offers enough options to get more energy so it doesn't bottleneck quickly like most energy dependent games. Good job, developers!
Vicky Hall	2	October 31, 2020	I enjoyed the game except that I didn't understand how to play it. I didn't understand how to get more diamonds to get products to continue to advance in the game.
Ryan Haider	5	October 31, 2020	Good
Crystal Miles	1	October 31, 2020	App keeps closing when half way loaded. Can't play.
Laty Karim	5	October 31, 2020	Best game ever
Shelia Cardinal	5	October 31, 2020	Great
yosepha anggie	4	October 31, 2020	This is a good game, i think i always need more more and more energy🥺 also it take a long loading. Pls do something make it perfect. Thankyou
Leeanne Wilson	2	October 31, 2020	The game won't load
Janet Chiasson	1	October 31, 2020	Can't get back in!!! Upgrade your servers!!!
Olta Plaku	1	October 31, 2020	Download it, tried 3 times just to open it and started playing. 2 seconds was okay and than it stopped working because they say no internet connection but I have a strong wi-fi connection at home. Tried again, the same thing so uninstalled. Not worthed to install.
Angela Woods	2	October 31, 2020	The game will not load tells me no internet gets frustrating
Jessica Chiu	5	November 1, 2020	Cool
Sandra manke	5	November 1, 2020	Das Spiel ist soooooooo süüüß tolle Grafik 5 Sterne wert
Angie Sprouse	5	November 1, 2020	Love this game
Santy Tamstil	5	November 1, 2020	Thank you for your feedback. Love the game..n keep it up!!!
Janine Steyn	1	November 1, 2020	If I go into game it makes like white blocks on game and I can not ply plz plz fix it
Tracy Hogan	2	November 1, 2020	Long loading times and many instances of not loading. It's fun when you can get in, but it's often not working (this is just after getting notified in game that they took care of issues, but were not clear on what issues) time games are often wrought with problems
Kelley Hartman	3	November 1, 2020	"It's a fun game, unfortunately energy replenishes way too slowly. I hate when games dictate how long I can play at one time and with this game, it's not a long enough time for me to be ""into"" it enough to want to spend money on it."
Susannah Stearns	5	November 1, 2020	Good game, seems to game more activity pretty quickly. Nice graphics too.
Angel Taylor	5	November 1, 2020	Love the game. Now that they fixed my issue.
Valentine M	1	November 1, 2020	Beautiful game but you can only play for 1 min at a time because the entire game consists of clearing objects using a limited supply of energy. So you play for 1 min then wait an hour or more to refill energy to play another minute. Again beautiful game but I cant enjoy unless I dump what looks like hundreds of micro purchases to enjoy. Rather save the space on my phone.
Bernadine Wedgie	5	November 1, 2020	A lot of fun. Would love to play hours, but energy runs out quickly.
Michele Wells	5	November 1, 2020	Hooked
jhadelyn Dimapilis	5	November 1, 2020	Cutesohaapy
Elvira Kemp	4	November 1, 2020	Good game
Vikam Kushwaha	4	November 1, 2020	New Events and need more improvement
Shaez Nova	5	November 1, 2020	I am in love with this game! ❤️❤️❤️❤️❤️❤️❤️❤️😍😍😍😍😍😍😍😍
Desma Britton	5	November 1, 2020	Very Enjoyable , This is a funblittle game. Ive played a few games sort of similar, butvthis game is far more enjoyable. The crafting is funer. The market system more balanced for your lvl. Still difficult to get energy, but not enough to make it feel like p2p.
Ericson Pamilar	5	November 1, 2020	offline games😍
Nur Adreanna	5	November 1, 2020	+graphics was awesome. Quite an interesting gameplay. But, 3 things. 1. The gems : wish it was easier to gain. Maybe a mini games or ads..or perhaps a cave of gems. That players can go there and mine for gems. 2. Life lines... The energy takes quite a long time to renew. 3. The progress of the games are quite eye catching except for the bombs that begins with 30 gems for a piece of bomb. Can you lower down the price for items that using gemstones? Overall I'm loving this game very much.
yvonne bell	5	November 1, 2020	Enjoying game. Can be slower if not spending money but still a good game
reo lynn	3	November 1, 2020	I would give this game 5 stars but u run out of lives way to fast so you cant play long
Elizabeth Race	2	November 1, 2020	It flickers on the Game
Gaming Fun	5	November 1, 2020	Love it
Seikholun Vaiphei	3	November 1, 2020	Good
Sue Richard	5	November 1, 2020	I just love this game the pink dragon as im a breast cancer survivor of 5 yrs
BizarreTerror 42	5	November 2, 2020	Good good 😃😃😃😃😃❤❤❤❤
Sophia Patel	5	November 2, 2020	I love Adventures
Shawna Crook	3	November 2, 2020	Hoeuagifartisticouselyoneof my favs
Salvatore Badagliacca	3	November 2, 2020	Good
Karen Zwyghuizen	5	November 2, 2020	Very fun game
Amanda Gray	4	November 2, 2020	I enjoy the mix of farming, crafting, merging, and exploring. I also like the fact that there are multiple ways for you to get more energy so there's no need to make a purchase if you don't want to. The special Halloween event is super fun and I can't wait to see what other events might be down the road. It does get a little slow once you reach a higher level, but I don't really mind waiting for my energy to replenish.
Jacki Furer	4	November 2, 2020	Gorgeous graphics.. can make your own energy to keep you in the game..I like being able to play for hours.. always something to do.. love the dragon slots.. so far my favorite game.. glad I found it..keep up the great work.. the bonus Halloween game a bit tough but you have the option of not wasting your energy.. love the crafting aspect.. wait times not to bad so far.. wish gems were a little more frequently given out or a bonus game would be nice.. definitely recommend
ANA Ecart	4	November 2, 2020	Is ok until now.
Kent Felix Tanamal	4	November 2, 2020	So far i enjoy play the game, the character have good expression. Why i give only 4 star because i know this game can still be improve some bug that i having like everytime i try to plant on all spot sometime some did not get plant, Its not big a deal but well kinda anoying. And i enjoy all the type of dragon in the game
Deborah Clark	4	November 2, 2020	Its a fun game has some glitches but if we're fixed it would be better it always has to reload or says internet connection is bad
George Schneese Schneese	5	November 2, 2020	Nice
Hope Mccullough	2	November 2, 2020	The game wont let me advance past level 3. It keeps telling me ive reached level 4 but my level doesnt change
Rahul Raju	5	November 2, 2020	Just in one word dreamworld
Faith Everlasting	5	November 2, 2020	I just now started playing it and it's really good
Dwi Suyono	1	November 2, 2020	Slow game
Angela Brummett	5	November 2, 2020	Best game ever!!
A Friedman	5	November 3, 2020	Very cute and addictive, I Love It!
Denise Young	5	November 3, 2020	Dragonscape
Jacon Chia	4	November 3, 2020	If can add player and get energy will be more better
Kara Angel	5	November 3, 2020	Dean Angel Winchesters ducks
Noelle M	1	November 3, 2020	This game has a few issue's a fox that cost 300 energy to move so you can complete a quest to move on, the energy takes ages to build up that 300 is way out there to get.
JD Drees	4	November 3, 2020	Could be better about energy.
SPICEX	3	November 3, 2020	just started play this game, very nice.... give us some video ads to get energy and coins / gems and gifts. do this and you all gonna get lots of players on this game.
Jennifer Dyko	3	November 3, 2020	You don't give enough energy to complete anything. Good game, but you need more free energy available to the player.
Lessie Baker	4	November 3, 2020	This game is great but it keeps shuttinging me out
Mechelle Broaddus	5	November 3, 2020	Absolutely love this game! Is is so cute and is a nice change from the same game formats that I have played.
Robin Bouton	5	November 3, 2020	Cute characters! I am enjoying the story 😊
Shane McCain	4	November 3, 2020	Ok the game so far is amazing but....the amount of energy you have is very very bad. But overall so far the game is fin other than the energy
Kathy Mazzocco	2	November 3, 2020	Boring, you can't earn enough energy to get anything accomplished.
Jacqueline Reilly	5	November 3, 2020	Fun game, I like the builder part and adventure explorer parts are great. It's easy to gather chocolate, berries to gather energy.
Susie Callihan	5	November 3, 2020	Fun and cute graphics
Sierra Lewis	4	November 3, 2020	Its fun to relax
Fishing.momma Ison	4	November 3, 2020	Fun and cute dragons. Needs better energy earnings due to high cost of energy to clear an area, but a cute fun and sweet game.
Anna Vida	5	November 3, 2020	Good
Amy Miota	5	November 3, 2020	Fun for all ages
Analyn Rey	5	November 3, 2020	👍👍👍👌👌
Anna SHAHMORADI	5	November 3, 2020	vanda💚✌💚👆💚👐💚💜👐💚💜
Siddharth Pillai	5	November 3, 2020	Best game in the world!
Kira Andewiel	1	November 4, 2020	Can't even get the game to start. Downloaded it, tried to start it and got to load screen for it to half load and then it would just close down. Tried several times. Well RIP
New One	5	November 4, 2020	I love it
Beth Ewers	5	November 4, 2020	I love it
Patty Kitts	5	November 4, 2020	Great game
sukar banat	2	November 4, 2020	This cute game, and cute drawing also nice story, the thing that i really disliked the energy is too small till i cant enjoy the game at all, that's why i uninstalled it
mush	3	November 4, 2020	i was really enjoying the game but it keeps force closing while trying to open it back up. it's like I can only play it once every 24 hours and then it won't work again until the next day or two. I've tried restarting the phone I've tried clearing cache
Alya Fenume	4	November 4, 2020	Very cute, addictive, but... The energy is an issue. If you gained more energy (or faster) itd be great. Or! Even removing the cap from what you can earn idly while not in game ( say its 60 currently - but I'm off it for 10 hours for work. Coming back to 400 energy (by the 90 sec for 1 free) would be better) Super cute. I keep playing. But playing free will soon be too much effort/time
Lori Baird	5	November 4, 2020	Very fun game
Michelle Watkins	5	November 4, 2020	I love this game because i love dragons
Karen Peters	1	November 4, 2020	Not a lot of things you can do, takes way too long to be able to deliver any goods; gets boring do the same thing over and over.
Michelle Bartholomew	1	November 4, 2020	I was enjoying this game until today when I click on it it closes that I can't even play.
Tammy Brown	5	November 4, 2020	Fun and addictive
Kim Memmel	5	November 4, 2020	It's different but fun.
thant zin	5	November 4, 2020	Like
Maria K	1	November 4, 2020	CAN'T ENTER THE GAME!!! It keeps crashing.....
Susan Evans	5	November 4, 2020	Love it
Christy Waltman	5	November 4, 2020	Love
Sarah Groothedde	5	November 4, 2020	Colorful fun interactive well paced game.
Precious Dawn	5	November 4, 2020	I love the game from the farming to the dragons to making your own energy to building things exploring the only thing that I would ask to be different is so that we can invite friends and view our friends as farms and help them out so that they can send gifts and stuff overall like I love the app like I love the game I love playing it just wish I could share the experience with my friends and stuff
L Brooks	3	November 4, 2020	So far so good, it just takes more to upgrade dragons to full size
Cheryl Jacques	4	November 4, 2020	Ok so I stuck it out and played the game a bit longer so I'm editing my previous two star review. Although I still feel that the energy issue is a problem, you actually can get places. You need to calculate directions and choose the best possible route in order to save energy. It really does need to be adjusted tho by the developers to make it a little more fun for the players. Pretty limited on how long you can play each day without spending alot of cash. At any rate the game is super cute!
Khushi Rai	5	November 4, 2020	Good...
bernadette adkins	4	November 4, 2020	Wish energy lasted longer
Ciarra Miller	5	November 5, 2020	Keeps me entertained 😀
Juliet Ngozi Andrew	5	November 5, 2020	Incredible
Pankaj Patel	1	November 5, 2020	Pfff one more energy game...
Pamela Beldyga	5	November 5, 2020	Absolutely addictive
Adeusi Marvelous	5	November 5, 2020	Cool
Christina Benevento	5	November 5, 2020	So far this is a great game, tropical, water front atmosphere, adorable mascots, plenty of tasks to keep busy, and food!!! So long as playing doesnt break the bank and energy, buildings, dragons, ect. are all easily obtained with not just cash but strategy and patients, this game has potential to create quite a following. Great job techs!!!
Koko Moore	1	November 5, 2020	The ratio for energy gained to energy spent is WAY off... You can only play for a minute or two tops before having to close game to regain energy... To clear one thing takes most your energy... This could have been a fun game but its simply too tedious to only play a minute or two every hour...
Sandra Jensen	5	November 5, 2020	It's hard having to wait for the energy to build back up but the game is really fun and cute in two days I was up to level 14.
Jalayne Lindberg	5	November 5, 2020	Love it.🤩🤩🤩
Sarah Webb	1	November 5, 2020	I downloaded this game today and am still yet to play as it will not load at all
Paige Woodard	5	November 5, 2020	This game has great graphics, a decent flow of energy that also includes options to earn more. Crops are reasonable to grow and harvest is easily done. Love the never-ending storage!
Stephanie Doiron	2	November 5, 2020	Game looked like fun but too glitchy for me. Every 30 seconds or so, it disconnected from my internet and I'd have to close it out and restart the game.
JODIE-LYNNE GINDL	5	November 5, 2020	I love the cute little dargons in the game
Kathy Knight	5	November 5, 2020	Cute game lots to do
Heather Leigh	2	November 5, 2020	Not enough energy to get the things done that u need u chop down 2 trees or stones and your out of energy that fast takes days and weeks to get anywhere in the game
Shadow Proxy	5	November 5, 2020	Great game so much fun 😍👍
Ade Setyowati	2	November 5, 2020	The trees only gaves you 1 fruit and it takes a long hours to produce. Yet you still needs to wait for the dragon to awake. Nananana.... so yeah,I'll just wait how long is my patients with this game before I remove it And the never ending saga with the energy
Merz Ramirez	5	November 5, 2020	amazing😁
Michelle Rivera	4	November 5, 2020	Loving it so far.
Dharini Darak	5	November 5, 2020	Nice
Ye Linaung	5	November 5, 2020	Energy is notenough
Jedi Kasep	3	November 5, 2020	Lot to do.. To much energy
Terrence Tan	5	November 5, 2020	I like it..is fun to play this game..
Helen Fink	4	November 5, 2020	It's a fun game but I'm having trouble loading it on my phone.
Paty Robles	5	November 5, 2020	Fun and entertaining!! Easy to play
Jonalisa Limmangya	5	November 5, 2020	So far so good
I play for honor xbox love my tea	5	November 5, 2020	Great time waster
Neil Gilbert	5	November 5, 2020	Really enjoying playing this
Piumika Nisha kumari	1	November 5, 2020	Excellent game
Sierra Chittenden	3	November 6, 2020	"It's fine. The art is pretty cute! Once you hit that inevitable wall after ""tutorial"" phase, it really slows down and doesn't feel so lively anymore. It's a colorful time waster."
Patty Demaria	1	November 6, 2020	Won't load
Shakoka Jacks	4	November 6, 2020	Very fun! I love everything about the game except for the lack of energy you can get or that you might have.
beckysaf	1	November 6, 2020	Keeps closing.
carol cintron o	4	November 6, 2020	Fun and cute...my complete is that when you have to go in the cloud. How do you pick up..the item.
Eve Connor	4	November 6, 2020	Ok so here is the best review money cant buy. I watched a commercial, thought eh thats interesting. Found out i thoroughly enjoyed it. Kept playing coming back as soon as the energy charged. I loved it so much, i had to unistall it so i didnt break my bank acount buying jewels. 2 improvements would be making watching commercials worth it. Not just 2 energy for a commercial. Secondly please either have the second dragon house has 2 rest spots or uses less sleep time. Not worth 80 jewels as is.
Debbie Jackson	5	November 6, 2020	Fun, addicting game!
Donita Vaughn	5	November 6, 2020	Awesome App!
Y R Cooper	5	November 6, 2020	I really enjoy playing be mad when I have to wait for my energy to refill
Jeanette Price	5	November 6, 2020	Easy fun game
loaloaa waleed	5	November 6, 2020	So cute and cute and funny
Rosa Tornikoski	5	November 6, 2020	Cute game
martha gaynor	4	November 6, 2020	Cute
Jose Pabon	5	November 6, 2020	It's really an awesome game all the different islands you got to go through and the adventures it's pretty good
Diane Smith	2	November 6, 2020	For some reason game companies think making the players pay real money or waiting hours for energy to restore is a good idea. IT'S NOT!! I have already uninstalled & will not be back. None of my other merge games make me pay $$.
Elizabeth Kirkpatrick	5	November 6, 2020	I am having fun playing this game. It's easy and relaxing.
Angela Garcia	5	November 6, 2020	This is a fun game. Im enjoying it very much.
Cynthia Baessler	5	November 6, 2020	Love it so far.
Angela Thornton-Sedore	2	November 7, 2020	Since I updated yesterday all I get is a black screen
Amirjanam Qazalpos	5	November 7, 2020	این بازی بسیار خیلی خیلی عالی...
Nyi Lay	5	November 7, 2020	Home game ever
Caety Overton	5	November 7, 2020	Love it easy to play too
Leslie Da Lie	4	November 7, 2020	I love everything about the game except sometimes it doesn't work. When it does work, it is really fun. The story line is engaging and the graphics are very nice.
Donna Fredenburg	5	November 7, 2020	Love it
Ann Blanshan	5	November 7, 2020	This is such a awesome game. You could never be bored playing this
Zainab Kataya	5	November 7, 2020	So so so nice 😍🎉🎊🎉🎊😍😍😍❤️❇️❤️ try it !!!🎊😍🎉❇️❤️🎊🎊🎉🎉
Bambie Hale	5	November 7, 2020	Love it
carolyn mcdermed	5	November 7, 2020	Fun
Kerri Smith	5	November 7, 2020	Love his game it's really cute and easy to play good graphics glad I got this game I give it give stars with two big thumbs up
Paige Holt	5	November 7, 2020	Best game ever
Anitra Cambo	5	November 7, 2020	Amazing game
Ana Soler	5	November 7, 2020	I liked very much
Dawn Lockett	5	November 7, 2020	Love the game
Kathlene	5	November 7, 2020	Great game! I'm in love with the little dragons and the game keeps you plenty interested. I recommend this game!
Teresa Fisher	5	November 7, 2020	I like the game so far
Lisa Edmondson	5	November 7, 2020	I'm absolutely loving this game !great graphics and so many things to do to keep you busy...
Paloma Oliveira	4	November 7, 2020	I've been playing this game since it came out, and I'm addicted to it, but I have a complaint. The energy takes too long to fill up. One minute and a half is too long. And the fact that it has a limit and it can't add more and more energy as time passes by, this is a huge problem for me. Energy is the most necessary thing in this game. So please, it should be plentiful. I'm sure that if it is, more people will spend money on it. I know I would.
Nancy Stokes-parker	4	November 7, 2020	i love love love this game
Elamaran Andavan	5	November 7, 2020	Super game very interesting very super I like this game and I love this game Super I did not believe this please install and play ok thank you for dragobscapes team thank you thank I am alarm elamaran
Mendy Farris	5	November 7, 2020	Fun
Andrea Simmerman	5	November 7, 2020	Love it
Bridget Finez	5	November 7, 2020	I am surprised by how fun it is!
Tina Sons	5	November 7, 2020	Very addictive, easy to play and very enjoyable.
Heather Parry	5	November 7, 2020	Hi the graphics are so nice, love playing highly recommend
smc caldwell	5	November 7, 2020	Love it!
RODOLFO FERNANDEZ	5	November 7, 2020	Entertaining
Michelle Vinson	3	November 7, 2020	Fun but, gets pretty tedious after a bit. I played for maybe 4 or 5 days, so many different buildings to build so that you can craft items and each building only has 2 slots open at a time unless you have enough gems to open more spaces.
Kai Bautista	5	November 7, 2020	I liked it. First time playing and it got me excited to explore more. Will keep playing this. Tnx
Gary Perkins	5	November 7, 2020	Good app
M Manese	4	November 7, 2020	I just started with the game and it delights me so far. Though I can see the energy consumption issue noted by the other reviewers this early. Will amend the review if I decide to play longer! 💛
melvin fowler	5	November 7, 2020	Good
Myrtie Moore	5	November 7, 2020	I love cute game. There so. Much fun think you make. This game.
Kendra Shepard	5	November 7, 2020	So much fun and farm game plus a merge game
Rose Williams	5	November 7, 2020	I'm enjoying this game
Debbie Trigwell	5	November 7, 2020	I lov this game there is so much to do and it keeps u coming back for more
Emily Williams	2	November 7, 2020	Was a lot of fun, up until fire island. You're only in the game for 30 seconds because all your energy it's used doing one thing. And the foxes, that's a joke: the earlier islands, you'd spin and get 75 or 100 energy, by fire island, you'd spin and get 25-35 nearly every single time. The game became a bank breaker real quick. If you're looking for a cute game, it's definitely a winner, but only download and play for the first couple islands - then uninstall and move on.
Shawna V	5	November 8, 2020	Awesome. Fun.addicting game
Dragon Gex	5	November 8, 2020	i love it
Ruth Parent	4	November 8, 2020	I love the game except for the use of energy. I cut down one tree and it's gone and l am done. Would like to play for as long as I want.
Jean Pritchard	5	November 8, 2020	So far its a good game
Sophia McNaughton	5	November 8, 2020	THIS GAME IS THE BEST GAME EVER😀😀😀😀😀😀
Deb Ellair	5	November 8, 2020	Farming, building, dragons! Yay!
Hope James	5	November 8, 2020	Love
Raeesah Kader	1	November 8, 2020	Hate it
Chrissy Miller	5	November 8, 2020	Iiii
Valerie Furney	5	November 8, 2020	Great game
Michelle F White	5	November 8, 2020	AWESOME GAME,FUN TO PLAY !!!
Christina Cottingham	5	November 8, 2020	Fun
Breanne Buttorff	5	November 8, 2020	Great fun relaxing game and good graphics
Arlyn Javar	5	November 8, 2020	I like it so much..
Margret Jonsdottir	5	November 8, 2020	😊😊😊👍👍👍
Diane Paradis	1	November 8, 2020	Game was good was enjoying it but now it won't stop crashing. I've deleted and redownload it still crashes,. I've checked for updates still crashing. Gonna delete permanently since it's now nothing but a waste of space.
Reni Miaw	5	November 8, 2020	I like this game. Very nice graphic. Gameplay n task is very good. But produce items take long time, it will better if you can reduce the time. Thank you
Maddie Rodriguez Lil Charlie	5	November 8, 2020	Very fun when ur on break at work
vina Thirdeyesurvivor@hotmail.com	5	November 8, 2020	Very cute and fun game
Maria Gonzalez	5	November 8, 2020	Pretty good
Martha L Temple	5	November 8, 2020	Relaxing game. Enjoying it
Viola Nuffer	5	November 8, 2020	Very cute and fun game .love it
Janie Fulcher	5	November 8, 2020	Love it
Carol Stouffer	5	November 8, 2020	Cant stop playing this game I'll be 68 in December i really in joy playing it
Sir Jerminator	4	November 8, 2020	Just started but very fun!
Emily Valcke	4	November 8, 2020	Love the game just wish there was more ways to get energy.
Melanie Hennessey	5	November 8, 2020	Love this game. It's not hard to level up and exploring is tons of fun..
Hydie Quizon	5	November 8, 2020	Ok
Subhajit Banik	5	November 8, 2020	The game is really great and fun.. Graphic is as some.. But building cost is to high.. And give us some thing new like dragon fight tournament... Game is really fun
april berneck	5	November 8, 2020	Love it ❤
Rachel Cowley	1	November 8, 2020	I have emailed the contact email given and haven't had a response!. The game is still not working. I've tried everything I can to fix it but it won't even get through the first loading screen.
Gauri Palkar	5	November 8, 2020	It's really pretty cool game I am waiting for this game to came out. Literally I love this game
Patricia Tutt	5	November 8, 2020	Good fun
Dorothy Watts	5	November 8, 2020	I'm very happy playing with the game.
Alisa Yuan	5	November 9, 2020	nice
Belinda New	5	November 9, 2020	it's a stress reducer excuse me you misunderstood me completely I'm not complaining about your game it is very relaxing to me. I have my daughter and my grandson have cancer this year and I'm under a lot of stress and if game seems to help I'm sorry you took me the wrong light I need to do whatever their senior sorry for the mistakes on this message I'm 66 years old thank you
Ingrid Laurenson	5	November 9, 2020	Loving this Game. Very addictive 😁
kevin michelle Crowley	4	November 9, 2020	Great game. Lot's of ways to get energy
Vyvyen Weaver	5	November 9, 2020	A generous game with cute characters.
Brittany Bergantzel	5	November 9, 2020	It's so much fun and I love playing it I can't put it down
An Nonamous	5	November 9, 2020	True fun for all ages inviting and exciting
G S	5	November 9, 2020	Beautiful play good rewards, plenty of energy available, can play continuously without waiting for energy etc
Om Za3blawy	5	November 9, 2020	Hh
Anita Hasan	5	November 9, 2020	Good game..
Donna Baltozer	2	November 9, 2020	Horrible!! Can not keep it running, constantly kicking me out
Gothic 177	5	November 9, 2020	Amazing and beautiful game 😍
Sindee Fell	5	November 9, 2020	Love this game
Nan Su Kyi	5	November 9, 2020	Like
Amber Linville	5	November 9, 2020	Love it
James Powers	1	November 9, 2020	Energy takes way to long to refill. Plants you buy degrade. Game is turning into a cash grab.
Deanna Mangrum	5	November 9, 2020	Love it
Margie Few	5	November 9, 2020	Love it
Anna Valles	5	November 9, 2020	Love the story, love the graphics. One thing i do not enjoy is when the energy fills up to 10, i get a notification stating that my energy has refilled, even though it hasn't.
Brianna Crowder	5	November 9, 2020	Fun just takes a long time to get more energy
Kale Zuki	5	November 9, 2020	Very easy game so far. Nice art / graphics and sound. Thanks for making this game.
