Writer	Rate	Date	Contents
salman8604 [YT]	1	November 2, 2020	SPACE NOT WORKING BUT EVERY GAME WORKS
Govani Nilay	1	November 2, 2020	Bored at just 3 games 😑
Ayush Boss Pro gaming	5	November 2, 2020	Hi kutti
Mi Phone	2	November 2, 2020	Ok nice game
Suman Gaytam	5	November 2, 2020	Nice
Renuga Kanakaraj	5	November 2, 2020	Superb
Otakv Fox	5	November 2, 2020	Aa
Bholu Adakane	5	November 2, 2020	very good
Orlomjav Tseedorj	5	November 2, 2020	💪
The Enthusiastic Gamer	2	November 2, 2020	The concept is great but my framerate is literally 2 so there's that
Kamini Joshi	5	November 2, 2020	Good
Lynn Marcus	2	November 2, 2020	Hard to control but fun
mg thet	4	November 2, 2020	Ijj
Monster On Road	1	November 2, 2020	Very slow
Attitude World	1	November 2, 2020	This game is very bad
Best Shorthand Steno	4	November 2, 2020	Good game
Dipendra Chaudhary	5	November 2, 2020	shortcutRun
khatra khatra khatra gaming khatra gaming	5	November 2, 2020	yeh game time pass ke liye good hai
Bharadwaj Giridhar	4	November 2, 2020	Haha funny and nice game. Found a bug where if you hit the finish line first with less wooden plates and run around your way back to the track you can infinitely collect more plates and get 15x points each time. Nice 2 days with this app. Got pretty addictive. Uninstalling. Good work dev! Wish it had multiplayer!
Kasun Malawanna	1	November 3, 2020	Trash constant adds
aniyah _2018	3	November 3, 2020	Ads that is it
Chanchal Singh	4	November 3, 2020	Argun
Kendra DiGuglielmo	1	November 3, 2020	I hate when it makes you do a feedback 😡😡😡😡😡😡😡😡😡😡😤🤬😡😤😤😤😤😤😤😤😤
Umer Naseer	5	November 3, 2020	Time killing
Ronak Jain	3	November 3, 2020	Quite a good game concept but very bad execution. Should have been a lot better and definitely a lot harder. Lastly make ads pop up after some time not just after every level
shashank Kulkarni	5	November 3, 2020	Excellent game I love it
khuslen Munkhbayar	5	November 3, 2020	nice
AmirReza Bayati	3	November 3, 2020	Too easy. Not chalenging
Matthew E	2	November 3, 2020	Way to many ads
Camieon Brown	5	November 3, 2020	good game
SAKTHI1357Y GAMER TAMIL	1	November 3, 2020	Super
Munir Ghouri	5	November 3, 2020	time killeer
Mujeeb ullah Ibrahimi	5	November 3, 2020	Good graphic and good game
xictq search	1	November 3, 2020	Worst game around
Jaylyn Coleman	1	November 3, 2020	I already hate the and i just uplodeide it. The speed of the game is slow and i can barely can control my carter! I saw it on #1 free games! Pleas inprove your game i will install next week to see inprovemints.
Wa hid	1	November 3, 2020	Boring
Magik JUICE	1	November 3, 2020	Cant install it
Nehalennia	3	November 3, 2020	This game is fun and all but I unlocked everything in one day and lost the desire to play after that.
Melissa Nova	5	November 3, 2020	Well its fun to play and seeing if youll win
ravi jain	1	November 3, 2020	Most lacking game ever And its too easy game i have ever played
Bray Aguirre	5	November 3, 2020	Good
Victoria Vestal	5	November 3, 2020	Like it
eugene Blackson	5	November 3, 2020	Great Game
Cyril Bibawy	4	November 3, 2020	Yeeet
RI DA	5	November 3, 2020	so much fun xd the only annoying thing in the game is ads :( n i wish if u add online mode that will be awesome.
Jessica Styles	1	November 3, 2020	TRASH
FewGrain 5	1	November 3, 2020	Ads suck
the forgotten	1	November 3, 2020	BAD I UNINSTALLED
Junior Norzil	5	November 3, 2020	Good
Deadly Night Shade	1	November 3, 2020	All voodoo games lag
Mithic Person	2	November 3, 2020	To many adds
Just another Hank Hill Account	1	November 3, 2020	Ad aftet ad, even if I choose not to watch one Just honestly, stop making these games. It's obvious no effort is put into these as your ads for these pollute YouTube ads. If you're gonna make a game, don't be lazy about it
The Hebsquatch	1	November 3, 2020	STOP MAKING GAMES VOODOO! They all mainly suck now because you killed your OWN CONTENT THE GAME WITH ENDLESS ADS! Seriously knock it off with this. No reason there needs to be a 30 to 1:30 min add at the end of every level. It's no wonder you guys are losing SO MUCH RESPECT on Mobile gaming.
forest tire	1	November 3, 2020	The only purpose of this game is to make money off ads, DON'T DOWNLOAD
Laddi Bedi	5	November 3, 2020	Good
A Google user	3	November 3, 2020	Guys turn off your internet to get rid of ads
Megha Vardhan	5	November 3, 2020	It is very very very very very very amazing
Mb Juyal	5	November 3, 2020	Juyel
Wendy Stephan	5	November 3, 2020	Good
Sujan Shrestha	5	November 3, 2020	Sujan app
HacccGaming	1	November 3, 2020	Too many ads i dont care if this is an free game way too many
Shlok Sharma	5	November 3, 2020	I like the game 👍
Lionel Vargas	1	November 3, 2020	I know people have to make their living but come on, there are games that do better without or few ads. Bots are the only thing you play against in this game and it so frustratingly easy. This type of game should be online. The game itself is pretty fun till you get hit by the ads though. Its not only this game but to all voodoo created games. Please Fix.😡
Sejan Thapa	5	November 3, 2020	It's correct 😊😊 game for me
Sanyogita Tripathi	5	November 3, 2020	Good
Brayden McGrath	3	November 3, 2020	I see this game as a fun and quick time consumer game. I just played it when i had free time or if i was waiting and needed to kill time.
Gaurav Pallavi	5	November 3, 2020	Free game good 👍👍👍
Ishwar Singh	5	November 3, 2020	fun
Geophysics Lover	3	November 3, 2020	build your way and jump to the edges but one thing that there's ads so turn airplane mode on so its kinda fun but the rest is just good and stuff but there's no online but you need the mod menu for installing online thats the fun part! have a good time!
Daniel	1	November 3, 2020	The forced ads last longer than the fake multiplayer races (turn on airplane mode and mysteriously race against other players...). Not worth anyone's time. Tried voodoo again, this reinforces that they are the worst when it comes to monetizing with excessive ads.
ganchalife with hiya	1	November 3, 2020	It is the worst game ever! If u want me to rate then make it soomoth it hangs when u are running but for now i am rating one star because my friend like this game 😠
Srashti Sachan	1	November 3, 2020	I am thinking I not give any star ads too much 😒 and in this game only in short cut game my phone hange not others game l like that game very much but hange is too much
Hridaya Giri	5	November 3, 2020	Interesting game 👍
shree	2	November 3, 2020	This game was nice untill your not able to control your character. So I deleted.👎👎
Anjali Gupta	1	November 3, 2020	Worst game ever I am not able to control my player It is hanging again and again My phone is hanging after uninstalling it also Please do not downlode it
ASMRCLEANINGX	1	November 3, 2020	This is trash bro the ads is annoy
Saeed sheykhzadeh	5	November 3, 2020	✌🏼✌🏼✌🏼
Bong dila	4	November 3, 2020	😍😍😍😍😍
Matthew Borg	1	November 3, 2020	Kind of fun. But you have to watch ads even if you don't want the bonus after every level. I would rather just pay $3-5 for a full game with no ads.
Christopher Van Ochten	1	November 3, 2020	UNPLAYABLE, UNLESS YOU LIKE NON STOP ADS, DONT PLAY THIS GAME.
Bharatha Mallesh	1	November 3, 2020	Dirty game
Sumanth Kumar Neralla	5	November 3, 2020	People are running
chhavi joshi	1	November 3, 2020	Worst game ever......😡😡😡😡this game is so much lagging
Rami Al-Awartani	5	November 3, 2020	😳😳😳😳😳😳😳😳😳😳
NINJA GAMER	5	November 3, 2020	Pagal madarchot game
A STAR NETWORKS	1	November 3, 2020	This is fun
Phoenix Fiere	2	November 3, 2020	Don't install it. It's really hard to move around so I just die. I would like sound but overall the concept is great. I would like the controls to easier instead of swiping because for me it's really hard to control
Zack Priolo	4	November 3, 2020	Good game too many ads
Ertugrul fan	5	November 3, 2020	Good work 👍
Smit Kapadiya_official	3	November 3, 2020	Ghant jevi game Interesting game
pari singhal	1	November 3, 2020	Worst game ever I played it hangs too many times worst of the worst game🤮🤮
Chris Steele	1	November 3, 2020	Bra like there is nothing fun about this game it is a treash game
Tflow Music	1	November 3, 2020	it's very problem
Shreyash Gaming	5	November 3, 2020	Nice
Hemanshu Pagde	1	November 3, 2020	Very very bad game 😭😔😔😔😔😭😭😭😔😭😔😂😔😂😭😂😂😂😔😭😂😭
meagan walsh	1	November 3, 2020	All though in the add for this game it is actually really fast and there is no possible way to stay on the path when u need to collect bricks or woodplanks. It is sorta fun playing but I have had this game for 3 years and I still can't control my character.
Vamsi Pedamallu	5	November 3, 2020	this is cool.
nouman khan	3	November 3, 2020	Good
Asad Qadeer	3	November 3, 2020	Game itself ain't that bad but it lags too much
Arman Ali	5	November 3, 2020	Hibuy
star sisters l	2	November 3, 2020	I'll pass thanks horrible game dude
Amogh	1	November 3, 2020	Ads ads ads ads ads 1 game ads ads ads ....this is what this game is
Legishetty bhavani	5	November 3, 2020	Super game
Nicole Geraci	3	November 3, 2020	I love this game but it's so slow
Kristine Castle	5	November 3, 2020	Cooooooooool
Shahryar Kaka	5	November 3, 2020	Awesome 😂
Indira Oli	5	November 3, 2020	Good game
Ben van Steijn	4	November 3, 2020	You ppl r dumb if u just turn ur wifi off b4 u open the app ads wont play
Joan Prasad	5	November 3, 2020	Si nice
Gabriel Weatherston	1	November 3, 2020	The game handles like garbage! The controls are bad for the game they're trying to make. Good idea over all, but remaster the controls. Once you do I'll revisit the game.
Sabira Ashraf	5	November 3, 2020	Good game
Lil Skrimp	1	November 3, 2020	It lags to much and theres alot of ads
Nate Black	1	November 3, 2020	The frequency and level of annoyance of ads is absurd.
Dancer Boy	5	November 3, 2020	Amazing
Devrin Fennel	1	November 3, 2020	Pos app not even worth playing glitchy, laggy, add walls everywhere fix it and i might change my rating
Soni Dhindsa	5	November 3, 2020	it. is a very nice game
Pooja Singh	5	November 3, 2020	Ksks
Shalini Srivastava	5	November 3, 2020	Bye bye lallana apak for did he get a an eye on the meaning that he is sums up for the club he is not the 4same player and the other is sums it up to the meaning he was not a home manager and the club had a an interest and the manager said he 5AM a home manager who had a great time with him but bahut said it was the first game I love the way he played and the team I love to play for home and the team he has a team that sings his mind for home in easy and the way we play and father and father of
Bipluv Rai	5	November 3, 2020	Good
Noha saker	1	November 4, 2020	This game is very bad and there is alot of ads and I don't want to play it again and I hate it 💔💔💔🖤😠👿👿👿☠️
ravan rakesh acf	5	November 4, 2020	Nice game
aditya kumar	1	November 4, 2020	Average
Rupom Edits	1	November 4, 2020	Sama dhon voda
Nadia Buirat	2	November 4, 2020	This game is fun the the problem it's only add fix this! Theres to many ads and when every game I play theres an add and when you get in second place or 3rd or 4th it makes no sence when a bot wins! Fix this game
Gangadhar Nandhi	5	November 4, 2020	Super
Enoch Posada	2	November 4, 2020	It's fun and all but it is sooooooo slow. It's so laggy, too many ads, and it's just rlly slow. Yes two spots for saying it's rlly slow cuz it's so slow it hurts
catherine curtis	3	November 4, 2020	Ok but at the end I wish it gave you twice the amount you had
Kia & Bj	1	November 4, 2020	The game do not want to install
krato	5	November 4, 2020	Bruh All You Kids Complaining About The Ads 1. Turn Off Ur Wifi 2. They Do It To Make Money Cuz Its A Small Game This Game Does Get A Lil Boring But Stop About The Adds
Fatima Jaber	5	November 4, 2020	This Game so nice i Love it
Kim mathews	1	November 4, 2020	wont stop showing me the add and it is annoing
Offz Roblox	5	November 4, 2020	Really fun, entertaining, and very enjoyable.
Gangsta Crew	3	November 4, 2020	Good game
Sophia Flores	2	November 4, 2020	You have no control on the control u want it to go a other way but its like running on ice and its glitchy a lot
VeeGee Duran	5	November 4, 2020	Is good And fun
Dariel Nicolás de Jesús Medrano	1	November 4, 2020	Only bots and ads after each level. I don't recommend it.
JayJay Leetsauce	5	November 4, 2020	Fun
Jason Brugger	1	November 4, 2020	Obviously it's absolutely terrible, shouldn't even need to read the reviews to see that, but I installed and played this just so I could give it 1 star for having the most annoying advertisement I have ever seen in my entire life. If I were your boss and you showed me that ad for approval, I would have fired you on the spot. You should be ashamed of yourself.
andrew coburn	2	November 4, 2020	Fun but time of ads > time of play
skylar yon	5	November 4, 2020	Fun ads aggy asf
Eduardo Salgado	3	November 4, 2020	Muy buen juego pero tiene muchos anuncios
lane mikkelborg	1	November 4, 2020	Too many ads
Myte Sanchez	5	November 4, 2020	gooood happpy
Michael Kim	1	November 4, 2020	It was terrible with actual bots and ads everywhere.
Athena Hashimi	5	November 4, 2020	Goooood
Carlton Bunns	5	November 4, 2020	Such a good game nice graphics nice idea funny
Christopher O'Melia	5	November 4, 2020	I'd why I just can
Rick Nelson	1	November 4, 2020	Laggy boring too many ads while playing the level and after.
ReplayJR _Exotic	5	November 4, 2020	Grrrrrrrr rate it 5 star
Digits	5	November 4, 2020	Fun
Danny Fazzino	1	November 4, 2020	Could be a good game. But. If you choose ad or not, There is an ad. Its an ad hog game.
MARCUZ SALVATORE	5	November 4, 2020	Is very fun
John Walker	4	November 4, 2020	I like it 😀
Estanislado Castaneda Jr	5	November 4, 2020	AWESOME
Alydia Ewing	2	November 4, 2020	I hate this game
Truth Hurts	1	November 4, 2020	Way so many ads ruined it other wise very interesting game...
Chris Weatherwax	1	November 4, 2020	Another game ruined with too many ads
Spookly	1	November 4, 2020	The controls are very... weird
Ruhani ruhi	1	November 4, 2020	You cant control it properly fully time waste
Chonoo Chono	5	November 4, 2020	ok
Diy crafts with Noorain	1	November 4, 2020	I don't like your game they does not work With my finger when I control them they does not work only I am out in this game 😠😠😠😠😡😡😡😡😡😠
Kevin Boyce	5	November 4, 2020	It fun
Zay Hughes	5	November 4, 2020	Pp
Ujwal Dhakal	5	November 4, 2020	Nice game
Diane Garcia	5	November 4, 2020	Challenging
Cooper Joyall	1	November 4, 2020	Idk wasn't worth it ?
Shashanth Vundavilli	5	November 4, 2020	Super game
Rothana Heng	5	November 4, 2020	Good Game
Suhana Kumari Roll No. 30 Class 5D	4	November 4, 2020	Good game😘 but, sometimes it is out of control, and it sometimes hangs my phone 😠😠 that's why I've given 4 stars
Phyllis Middleton	1	November 4, 2020	I hate this game is
Im Zayn	1	November 4, 2020	The developers are greedy and have 30 second ad's after every run. DO NOT INSTALL, It's annoying to play with constant ads.
Khallid Graham	5	November 4, 2020	Another fantastic game by Voodoo
Gene Mendoza-Dalire	1	November 4, 2020	Hi to the shotcut
ghost moch	1	November 4, 2020	This is the worst game I ever played in my life after every game I play it goes to a add and that's so annoying
Arpita Choudhary -6A	1	November 4, 2020	Very bad 😵🤢🤮
Lupe Castaneda	4	November 4, 2020	Fun and easy to download
Daniel Martinez	2	November 4, 2020	I like the idea of the game but there is no multiplayer and ads run longer then the play time. Uninstalling and going to play one of the games from the ads.
tejas Muller	2	November 4, 2020	Game is good and innovative but it's lagging at finishing
Sunita Honmale	5	November 4, 2020	This is the best game ever because sometimes I am playing it with online source and do you know it does not show many adds compared to other games
Nikhat sultana	5	November 4, 2020	This game is so so perfect
Brian Dunn	2	November 4, 2020	Time killer ... once you get all the skins, its pointless to play. You're playing against Bots and maybe 4 or 5 words. Nothing exciting ...
Kapsea	1	November 4, 2020	Trash
Joshua Palmer	5	November 4, 2020	So good
Deanna Lynch	1	November 4, 2020	horrible game
Kurt Mackay	1	November 4, 2020	Too many ads
NOOB GAMING telugu	1	November 4, 2020	Nice 👌
Munguu Munguu	1	November 4, 2020	Idk
Shant Levon	4	November 4, 2020	Nice one
Samuel Grantham	5	November 4, 2020	Good game G
Flavita Dsouza	5	November 4, 2020	Time passes game
Sharad Singh	4	November 4, 2020	In this game I enjoyed
Archit Sri	5	November 4, 2020	I am downloading after a ad on inatragram ... 🤓
Tanzima Kabir	5	November 4, 2020	GG GG GG GG GG GG GG GG
fun with vania.	5	November 4, 2020	Nice game to play and for those who want to do tympass for them this game is best...even I also want to do tympass so I have downloaded this game... All should download it.... Best game ever Thanku team for making this game
ROBOT YT	5	November 4, 2020	Very good game jo is me mja h bs pusho mt
Šhãđøw ķìñģ	5	November 4, 2020	Please give me more coin
Kapil Raj	5	November 4, 2020	Nice
Sathi Malakar	5	November 4, 2020	Good
Piyush Yadav	1	November 4, 2020	I don't like it at all
Shahmeer Lakhani	4	November 4, 2020	best game
Ramachandran G	1	November 4, 2020	Weast its not qorking proprly
Santosh Magar	5	November 4, 2020	🙂👍
Rupa Pansare	5	November 4, 2020	Gaurav
Moumita Chakraborty 65	3	November 4, 2020	Well i would like to give this game 5 star but the controls are not good
Henry stickmin	5	November 4, 2020	I love this game sooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo much
HARPREET KAUR	5	November 4, 2020	best
Aubrey Mcduffie	1	November 4, 2020	This game is super lag and it I very hard to swipe someone fix this
Diesel Xander	5	November 4, 2020	Best game ever yes so many ads but turn your phone on airplane mode and it will stop giving you ads
Simran Sngm	5	November 4, 2020	.This is fabulous game.Play it offline then there is no problem of adds.Download it now‼️‼️‼️
Bishal Bhujel	2	November 4, 2020	Way to laggy. And add online play too.
Pranay Purohit	1	November 4, 2020	Sorry its asking me for privacy data and I will not give for any purpose 👍🏻
Huyaghuu huyaghuu	5	November 4, 2020	Good
Anissa Edmondson	5	November 4, 2020	Good 😝😝😝😝
Raheela Jawaid	5	November 4, 2020	Excellent,best good
Sumaiya Salsabil Surah	5	November 4, 2020	Hmm......I THINK VOODOO TEAM IS THE BEST FOR MAKING GAMES.I love it....
shabnam khatoon khatoon	5	November 4, 2020	Perfect
jitendra singh	5	November 4, 2020	Ghh
Vibe session	1	November 4, 2020	Its bad dont download
Samad Babaee	5	November 4, 2020	Good
Amin Dark	5	November 5, 2020	Awesome
Pedro Moraes	1	November 5, 2020	Bad. Each round is about 15 seconds and you finish you have to watch 30 seconds ad...
Vijaya Lakshmi	5	November 5, 2020	Good
achref somrani	1	November 5, 2020	Too much ads
Subash Tiwari	5	November 5, 2020	Thanks for all the time that you have give for making this game
Maher Ali	5	November 5, 2020	Good
Chris Serrato	1	November 5, 2020	Fake multiplayer and ads after every race. Not a challenging game either
milan srkar	5	November 5, 2020	Good game
deepak duchaniya duchaniya	5	November 5, 2020	Wow amazing and runner up 👆 Academic
fortnite gaming	5	November 5, 2020	Cool
CHARLEYS VLOGS AND VIDIOS	1	November 5, 2020	I like it but the levels are to hard
Tiffie Renee	4	November 5, 2020	I like it but when you press the blue button it's still a ad
Karim wafa	5	November 5, 2020	omggggg 1st hahhahaha
Chad Fewer	1	November 5, 2020	Ad delivery machine. Don't waste your time.
JITENDER SINGH BISHT	5	November 5, 2020	sex
vansh solanki	5	November 5, 2020	Wow nice game
nataniel tremblay	1	November 5, 2020	Way too many ads
dittocopys	3	November 5, 2020	Decent game, definitely not multiplayer
Spawf ty	3	November 5, 2020	Decent
Samriddhi Soni	1	November 5, 2020	Cheap game don't download this game don't have to download this game pls👎👎👆.
MarMar B	5	November 5, 2020	Good
Eric Ladner	2	November 5, 2020	Just installed. Played about eight or ten rounds. Now I'm uninstalling. I really don't mind ads for free apps. But I can't stand apps that require a 30-second between each round that each lasts less time than that.
سعید رضایی	5	November 5, 2020	THIS GAME IS AWESOME. But it's to glitchy and makes me fall
sarah marshall	1	November 5, 2020	The controls are horrid and so many ads 🤢 if you love ads HIS IS THE GAME FOR YOU
Michael Moses	5	November 5, 2020	Cool
Anaya Hill	5	November 5, 2020	Great
Michael Rush	1	November 5, 2020	Played 1 game, advert, DELETE
Mason Nolan	1	November 5, 2020	The game is so laggy
Jerry	1	November 5, 2020	To .any ads
Alvee Mahmud	1	November 5, 2020	Grows advertisement
Renzi Vega	1	November 5, 2020	Please save yourself from this horrible experience! It's not even online it's just bots doing the exact same thing and the game lags when you are not online and you get to break all laws of physics and gravity by walking on a floating bridge as you build it. Please don't download this game I legit have a headache after playing it.
mandy gonzalez	1	November 5, 2020	Delete this app now thanks
Kamaya yarbrough	4	November 5, 2020	This game is brilliant
Donovan Knott	1	November 5, 2020	Just like every other game these guys make. Great idea, but ads just make it and awful experience. Bots are pretty bad too and online would make this game a massive hit, but still, ads ruin the game.
Al Desouza	4	November 5, 2020	If you don't mind an advertisement after every single race....then this is a great game.
Destiny Contreras	4	November 5, 2020	A good time consumer
Daniel B	1	November 5, 2020	Ad every level, I thought I'd try it because it looked simple and fun. It is, but everyone is right there is an ad every level! You might as well just click the watch video for the extra coins. Not worth the frustration being that each level is typically shorter than the ads themselves. Do an ad every 3 or 4 levels.
Jazmine Rojas	5	November 5, 2020	This game is amazing! I don't get why everyone is giving this game 1 stars for stupid reasons. Unlike other games, this game has a few ads but I don't get unpaitence like others. Love how you added skins and a bunch of levels so It doesn't have to repeat. Love this game!!
MMA GAMING	1	November 5, 2020	Inappropriate ads playing
Dejhi Collick	1	November 5, 2020	The game is freaking trash that ads are longer than the freaking levels that that's that's just bad and the thing is the game isn't Fun short if it was a little longer I'll give it like a 3 I I just don't like the game
ASHERIEL IVO	5	November 5, 2020	Great
pinkCupcake _flowers	1	November 5, 2020	It keeps taking me out the game i havent even played it yet the screen just turns black and takes me out of the game dont even try to play it
Satria Arif	4	November 5, 2020	i hope it could be multiplier games
Coral Palacio	5	November 5, 2020	Its dumb://
P a n t h e r	1	November 5, 2020	Ok number one everyone is a bot and number two is WHENEVER I TRY TO MOVE I FALL INTO THE WATER. if you could fox this i would LOVE that.
Saige B	2	November 5, 2020	Fresing up
Isaiah Ricketts	2	November 5, 2020	Its good but not better????
s⃠ l⃠ e⃠ e⃠ p⃠ y⃠ s⃠t⃠a⃠r⃠s⃠	1	November 5, 2020	How in the are going to let some people literally get in front of you and the controls are ass 🖕
Georgette Sweeting	5	November 5, 2020	It was hard to play at first but then it was fun
Justin Fritsch	1	November 5, 2020	Way to many adds .. really turned me away from the game.
Martino Gonzalia	3	November 5, 2020	no lo juge pero espero que este bueno
Carlene Felix	5	November 5, 2020	Like
Jamar Dove	5	November 5, 2020	This is a fun game. I am enjoying it.
Vinny Boutros	5	November 5, 2020	Vinnyboutros
Michael Mason	1	November 5, 2020	Controls are bad. Could be fun. More ads than gameplay. Devs sold out before finishing what could have been a great game, unfortunate.
Naruto Naruto	1	November 5, 2020	Ads everywhere
HASSAN MAHIR	1	November 5, 2020	IT HAVE VERY LAG IS BBBAD
family Ranalli	1	November 5, 2020	Its laggs way to much when u play ... and its gets you kinda dizzy
Badri Shreshta	3	November 5, 2020	8tI I f2fè know 22wtd ueg⛩🤣🤣1vcy 2gy
Masroor Ahmad	4	November 5, 2020	Its pretty fun but only when there's nothing else to do
Rainy Lucero-Hare	1	November 5, 2020	The graphics are very choppy and its very hard to steer.
Remone Gotti	5	November 5, 2020	Fun little game
Bryan Spruill	1	November 5, 2020	10 sec levels a baby could beat against super easy bots, followed by a 30 sec ad. Rinse, repeat, and then promptly uninstall
Rose Cubero	5	November 5, 2020	Best game ever You can run win Your welcome
Innocent Frewing	2	November 5, 2020	Kept me entertained for about 10 minutes.
Vivian Jelinek	1	November 5, 2020	It's fun...and then it gets laggy....and crashes There's too many ads too
Robert Florence	1	November 5, 2020	This game sucks the bots are annoying and u litrally win almost every time it's really boring
Tyler Farley	1	November 5, 2020	Very laggy
Jonathan Petrinitz	2	November 5, 2020	Gameplay is meh, you're not actually playing against other people, rather you're playing AIs made to look like other people. The difficulty is extremely low.
Goosy S	5	November 5, 2020	I feel bad for all your bad ratings but I love all your games and everything this game is amazing and I just got it today😂😀
john gold	1	November 5, 2020	This game made me angry i only had a 30 second timer ughh
Raven Hurte	3	November 5, 2020	It's a fun game with an enjoyable concept, but it lags.
Daniel Schade	4	November 5, 2020	A game that doesn't have a lot to 8t but fun nonetheless. Needs more content to be a 5 star game
YSAS	1	November 5, 2020	I play the game with internet connection turned off in the event that ads lag the game. Regardless the game lagged more than hell!! Not to mention the movement is super delayed! This doesn't even compare to the crazy rubberbanding of the computers! I've played some pretty terrible games from ads. The main differnece is that some ads looked and a disaster and do play. This game looked decent in comparison so I expected it to be alright, but it's an absolute dumpster fire.
Noah Burno	1	November 5, 2020	"Do you like ads? Do you hate actually playing games? This ad generator, erm... I mean ""game"" is for you!"
Faded_ cute girl	5	November 5, 2020	Best game I ever played in the wrold!!!!!!!!!!
Aarya Sonawane	5	November 5, 2020	Amazing game
Rose Christopher	1	November 5, 2020	You can barely control the character and WAY TO MANY ADS
Apollo the Alian	1	November 5, 2020	Not good. I would rather play trap bubble bunny on repeat for the rest of my life then play one more second so last go into detail on way this is SO BAD. Was the art made from a first grader? Really I don't even know about 3d molting but I could still make something better. Next the maps are HORRIBLE it's the same thing but reskined. There is a ad for every other breath you take and there is NOTHING that says we DON'T care about the game only the money then well... THE WHOLE GAME.
venkanna Bathini	5	November 5, 2020	Nice game
xboxgame plays	4	November 5, 2020	The game overall is good it just needs to fix the lag. But besides that it's really fun to play.
Audrey O	5	November 5, 2020	I've watched an ad on tiktok and it said very addictive game.... And so it is. Cute graphics as well!
thirumalai raja	5	November 5, 2020	I love this game 🤗
super plushie mason	1	November 5, 2020	It's too laggy and it all ways messes me up
Dutton Carbis	1	November 5, 2020	Glitchy, riddled with ads, was just complete garbage through an through
AADITYA SHANKAR	1	November 5, 2020	Ir is full of ads
Kryst Kogiel	1	November 5, 2020	Too many long ads, only bots no online. Great concept, terrible execution.
Chinnasamy Thoppu	2	November 5, 2020	This game was nice it is cool game so i think you should all play this game
Scott Fitz-Gerald	5	November 5, 2020	So good but it anoys me how it is so fast.You should slow it down a little more so people can get bricks 👌🖒
Alonzo Garcia	5	November 5, 2020	Fun
SANJAY BHOSALE	1	November 5, 2020	This is very very very bad game I played 😤😤😤😤
Ramya Reddy	5	November 5, 2020	This game is really very nice it is really fun winning you should install this game
Katelynn Infante	1	November 5, 2020	Piggy
tero bau	5	November 5, 2020	Op
demudu pudi	5	November 5, 2020	Nice
Mangalatchoumy R	5	November 5, 2020	Interesting to play
Vinayak Sanas	5	November 5, 2020	Awsome
Nettie	1	November 5, 2020	Cant steer the character well
Kunjan Khadkaa	4	November 5, 2020	Game is very nice. I love it but there are some problems. 1) something like a lag are appears on my 2GB ram phone. 2)Because of a lag controls have been slow. But also this game is nice. I love graphics. Too much fun playing this game. Me and my sister play this game daily. But i request to manage the problems.
KGF GAMING	5	November 5, 2020	😇😇😇
the world of Haley The World of Magic	5	November 5, 2020	I love it
safder rizvi	3	November 5, 2020	Monotonous
Rimsha Malik	1	November 5, 2020	Very bad game
iiStrawberryGamer	1	November 5, 2020	Horrible!! Controls are bad Game is repetitive To many as You just lost a installer I uninstalled this app...
Enrique Clark	5	November 5, 2020	I love this game its very fun.
imtiaz rahman	5	November 5, 2020	Keep creating creative games
mary Murshida	5	November 5, 2020	Wow
Quinntin butler	3	November 5, 2020	The game is very easy to win everytime. Needs online or change the algorithms so things are different.
Guna Gk	1	November 5, 2020	Over adss
My miss tanya	5	November 5, 2020	This game is super game.
Samthebeast84	3	November 5, 2020	It's ok I wouldn't say it's amazing but it is fun trying figure out if you wanna go for mor tiles or keeping them for the end Would play again
Vladimir Radic	1	November 5, 2020	You run for 10sec, then watch ads for 5-30sec I tought that ads will go away after several times, but no. There is more ads, then actuall game. Deleted instantly
Ian k	1	November 5, 2020	First time reviewing a game. This game gives 30 second ads after EVERYTHING, you spend more time in ads then playing. Don't support this business model. Zero stars mane.
Nick Elf	1	November 5, 2020	Cash grab app, just like all of voodoo's apps
Kismat Thapa	4	November 5, 2020	Good
laylay Gang	1	November 5, 2020	To many ads and only bots
Sonu Sayyed	1	November 5, 2020	Very good game I never see this game in my life but very bed game also noooooo 👎
Harleen Mahi	1	November 5, 2020	Its soooo boring and its graphics is not soooo good 🤔🙄😣😥😮🤐😒😕👿👿😦😵😰👽👎👎👎✊
Ashok Rajput	3	November 5, 2020	This is very good game🎮🎮🎮🎮
Brahvi o Balochi Songs	5	November 5, 2020	Amazing
Anisha Garg	5	November 5, 2020	It is a good game for time pass. I love it
Sasquatch	2	November 5, 2020	2 stars. It would get an additional star if the lazy ass developer added sound to the game, and another for less ads.
Hope	1	November 5, 2020	You have barely any control over the character it just goes where it wants to half of the time and it's glitchy. I haven't played it for long so I don't know about the ad situation but I would guess that theres many. If u want people to play it then fix it cause its horrible!!!
Ayyankalai Raman	5	November 5, 2020	No hang
Andrija Kalac	1	November 5, 2020	Ads..
Vibhore Singh	1	November 5, 2020	I saw the feedbacks they said it's bad so I tried it they were correct trash bots and so many ads srsly
Arvind Sharma	5	November 5, 2020	Good
Mohammad mahdi Javanmardi	5	November 5, 2020	Nice
Akash Tiwari	5	November 5, 2020	It is fun to play
Ris2 Abdullah	1	November 5, 2020	Waste of time
tiktok poster dobre brothers	5	November 5, 2020	I think this game is fun
Mahesh Verma	5	November 5, 2020	Yes I liked it 😳😳🤠🍰
